Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of cholesterol efflux (GO:0010874),2/33,0.0164349143643536,0.2492249567261669,0,0,10.945685139233529,44.96867579627058,LAMTOR1;PLTP
GO_Biological_Process_2021,negative regulation of protein kinase activity (GO:0006469),3/90,0.016582892361901,0.2492249567261669,0,0,5.884066587395957,24.121046632438983,CDKN1C;DBNDD2;SH3BP5
GO_Biological_Process_2021,phosphatidylinositol 3-kinase signaling (GO:0014065),2/34,0.0173949601513483,0.2492249567261669,0,0,10.603098290598291,42.95924542462105,ERBB3;SIRT2
GO_Biological_Process_2021,acylglycerol catabolic process (GO:0046464),2/35,0.0183783020682341,0.2492249567261669,0,0,10.281274281274282,41.08998190196967,LIPE;FAAH
GO_Biological_Process_2021,supramolecular fiber organization (GO:0097435),6/351,0.018580711458719,0.2492249567261669,0,0,3.006694882647172,11.983577097585956,BACE1;TSPAN15;GSN;COL4A5;STMN4;RHOB
GO_Biological_Process_2021,transition metal ion transport (GO:0000041),2/36,0.0193846338288839,0.2492249567261669,0,0,9.978381096028157,39.34749669956984,TF;SLC31A2
GO_Biological_Process_2021,neural crest cell migration (GO:0001755),2/37,0.0204136519017743,0.2492249567261669,0,0,9.692796092796092,37.72001411839887,SOX8;SOX10
GO_Biological_Process_2021,regulation of microtubule cytoskeleton organization (GO:0070507),2/37,0.0204136519017743,0.2492249567261669,0,0,9.692796092796092,37.72001411839887,MAP6D1;STMN4
GO_Biological_Process_2021,regulation of neuron apoptotic process (GO:0043523),3/98,0.0207506677277022,0.2492249567261669,0,0,5.386388384754991,20.873207590812573,BACE1;MAG;ERBB3
GO_Biological_Process_2021,positive regulation of developmental process (GO:0051094),4/177,0.02144731172334,0.2492249567261669,0,0,3.9624026137220407,15.224168854073564,FIS1;ENPP2;SOX8;ELAPOR2
GO_Biological_Process_2021,regulation of protein tyrosine kinase activity (GO:0061097),2/39,0.022538546588249,0.2492249567261669,0,0,9.167937167937168,34.76966073932359,ERBB3;SH3BP5
GO_Biological_Process_2021,cellular response to organonitrogen compound (GO:0071417),3/103,0.0236211180747424,0.2492249567261669,0,0,5.115775862068966,19.16172237227218,JUP;CTNNA1;LAMTOR1
GO_Biological_Process_2021,autophagy of mitochondrion (GO:0000422),2/40,0.0236338297872442,0.2492249567261669,0,0,8.926225820962664,33.42939523362087,FIS1;ATG13
GO_Biological_Process_2021,regulation of nervous system development (GO:0051960),2/42,0.0258886044917811,0.2492249567261669,0,0,8.479059829059828,30.98208091131225,ELAPOR2;SIRT2
GO_Biological_Process_2021,substantia nigra development (GO:0021762),2/43,0.0270475186031844,0.2492249567261669,0,0,8.271836564519491,29.862653587768307,CNP;SIRT2
GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),3/109,0.0273355572175063,0.2492249567261669,0,0,4.824739752765127,17.36697381468537,GRM3;KCNMB4;CNTNAP4
GO_Biological_Process_2021,negative regulation of cell differentiation (GO:0045596),4/191,0.0273865322040445,0.2492249567261669,0,0,3.6631481050918393,13.17892226728748,CHADL;SOX8;ABCG1;SIRT2
GO_Biological_Process_2021,regulation of cytoskeleton organization (GO:0051493),3/112,0.0293029293604764,0.2492249567261669,0,0,4.691236950332174,16.560384452609046,IQCJ-SCHIP1;MAP6D1;RHOB
GO_Biological_Process_2021,regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,APLP1
GO_Biological_Process_2021,negative regulation of lipid transport (GO:0032369),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,FIS1
GO_Biological_Process_2021,camera-type eye photoreceptor cell differentiation (GO:0060219),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,SOX8
GO_Biological_Process_2021,regulation of cellular response to osmotic stress (GO:0106049),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,EFHD1
GO_Biological_Process_2021,regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:2001270),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,RFFL
GO_Biological_Process_2021,negative regulation of organelle organization (GO:0010639),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,IQCJ-SCHIP1
GO_Biological_Process_2021,nephron tubule formation (GO:0072079),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,SOX8
GO_Biological_Process_2021,regulation of kidney development (GO:0090183),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,SOX8
GO_Biological_Process_2021,cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,LRRC8D
GO_Biological_Process_2021,regulation of mRNA binding (GO:1902415),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,LARP6
GO_Biological_Process_2021,regulation of plasma membrane organization (GO:1903729),1/5,0.029400796348003,0.2492249567261669,0,0,42.11228813559322,148.5188181016861,GSN
